city,Country,Region,data_type,tier,Monthly_Budget_Single_EUR,Monthly_Budget_Single,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Studio_Center_EUR,Studio_Center_Cost,Studio_Outside_EUR,Studio_Outside_Cost,1BR_Center_EUR,1BR_Center_Cost,1BR_Outside_EUR,1BR_Outside_Cost,2BR_Center_EUR,2BR_Center_Cost,2BR_Outside_EUR,2BR_Outside_Cost,3BR_Center_EUR,3BR_Center_Cost,3BR_Outside_EUR,3BR_Outside_Cost,Internet_Avg_Mbps,Internet_Reliability_Score,Coworking_Availability,Cafe_Work_Culture_Score,Public_Transport_Score,Bike_Friendly_Score,Walkability_Score,Airport_International,Flight_Connections_Score,Avg_Temp_Winter_C,Winter_Temperature,Avg_Temp_Summer_C,Summer_Temperature,Rainy_Days_Year,Rainfall_Level,Sunshine_Hours_Year,Sunshine_Level,Air_Quality_Score,Population_Density,Expat_Community_Size,Nomad_Community_Score,English_Proficiency_Score,Singles_Vibe_Score,Nightlife_Score,Dating_Scene_Score,Family_Friendly_Score,International_Schools_Count,International_Schools_Availability,Playground_Parks_Score,Healthcare_Quality_Score,Healthcare_Cost_Score,Safety_Score,Coffee_Culture_Score,Restaurant_Diversity_Score,Vegan_Friendly_Score,Fitness_Scene_Score,Outdoor_Activities_Score,Cultural_Events_Score,Startup_Scene_Score,Tech_Jobs_Score,Freelancer_Network_Score,Bureaucracy_Ease_Score,Digital_Nomad_Visa,Visa_Type_Details,Visa_Duration,Tax_Rate_Standard_Pct,Tax_Level,Tax_Benefits_Premium,Vibe_Tags,Premium_Insights
Plovdiv,Bulgaria,Eastern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,Average,No,D Visa,Short-term (1 year),10,Very Low Tax,10% flat tax,,"Tax: 10% flat tax | Ancient: Ancient Roman theater | Culture: 2019 European Capital of Culture | Cost: Extremely cheap | Size: Smaller, more authentic | Best for: Extreme budget, history lovers, off-beaten-path"
Plovdiv,Bulgaria,Eastern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,10,Very Low Tax,10% flat tax,,
Funchal,Madeira,Southern Europe,General,free,1400,Moderate,2900,Moderate,750,Moderate,550,Moderate,900,Moderate,650,Moderate,1400,Moderate,1000,Moderate,1800,Moderate,1300,Moderate,100-200,Good,Few,Good,Average,Good,Good,FNC - Cristiano Ronaldo,Good,17,Warm,23,Mild,80,Moderate,1900,Good Sunshine,Good,Medium,Large,Good,Good,Good,Average,Good,Good,15,Moderate,Good,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Average,Excellent,,,,,,,,"Island Paradise, Digital Nomad Hub, Year-round Spring, Nature, Levadas, Remote",
Funchal,Madeira,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,Good,Yes,D7/D8,Long-term (2 years),28,Moderate Tax,NHR available,,"Tax: NHR regime | Climate: Eternal spring (17-23°C) | Nature: Hiking, levadas, flowers | Remote: Island isolation | Community: Growing DN hub | Best for: Nature lovers, remote work, year-round mild weather"
Funchal,Madeira,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,28,Moderate Tax,NHR available,,
Las Palmas,Gran Canaria,Southern Europe,General,free,1300,Moderate,2700,Moderate,700,Moderate,500,Moderate,850,Moderate,600,Moderate,1300,Moderate,950,Moderate,1700,Moderate,1250,Moderate,100-200,Good,Few,Good,Good,Good,Excellent,LPA - Gran Canaria,Good,18,Warm,24,Warm,40,Very Dry,2890,Very High Sunshine,Average,Medium,Large,Good,Good,Good,Good,Good,Good,18,Moderate,Good,Good,Good,Excellent,Good,Good,Good,Good,Excellent,Good,Average,Average,Excellent,,,,,,,,"Year-round Beach Weather, Canary Islands, Digital Nomad Hotspot, Surf, Eternal Spring",
Las Palmas,Gran Canaria,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,Yes,Digital Nomad Visa,Short-term (1 year),24,Moderate Tax,Beckham Law + Canary Islands ZEC (4% corporate),,"Tax: ZEC special tax zone (4%) + Beckham Law | Climate: Perfect year-round (18-24°C) | Beach: City beaches + surf spots | Community: Major DN hub | Remote: Island life | Best for: Beach lovers, surfers, year-round sun, remote workers"
Las Palmas,Gran Canaria,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,24,Moderate Tax,Beckham Law + Canary Islands ZEC (4% corporate),,
Coimbra,Portugal,Southern Europe,General,free,1000,Affordable,2200,Affordable,550,Affordable,400,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Affordable,100-200,Good,Very Few,Good,Good,Good,Good,No major international,Low,9,Mild,25,Warm,110,Rainy,2200,Good Sunshine,Low,Small,Small,Good,Good,Average,Average,Average,Good,8,Very Few,Good,Good,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Good,,,,,,,,"University, Students, Historic, River, Authentic, Affordable, Academic, Traditional",
Coimbra,Portugal,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,Good,Yes,D7/D8,Long-term (2 years),28,Moderate Tax,NHR available,,"Tax: NHR available | University: Oldest university in Portugal | Students: Young, energetic atmosphere | Cost: Very affordable | Authentic: Traditional Portuguese city | Best for: Budget travelers, academic atmosphere, authentic Portugal"
Coimbra,Portugal,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,28,Moderate Tax,NHR available,,
Timisoara,Romania,Eastern Europe,General,free,800,Very Affordable,1800,Very Affordable,400,Very Affordable,300,Very Affordable,500,Very Affordable,350,Very Affordable,750,Very Affordable,550,Affordable,1000,Very Affordable,750,Affordable,120-250,Good,Few,Average,Good,Good,Good,TSR - Traian Vuia,Low,0,Cold,24,Warm,100,Rainy,1900,Good Sunshine,Low,Small,Small,Average,Good,Good,Good,Good,Average,8,Very Few,Average,Good,Excellent,Good,Average,Good,Average,Average,Good,Average,Average,Average,Average,,,,,,,,"Little Vienna, Affordable, Architecture, Cultural, Revolution 1989, Underrated",
Timisoara,Romania,Eastern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Residence,Short-term (1 year),10,Very Low Tax,Microenterprise,,"Tax: Microenterprise 1-3% | Architecture: Austro-Hungarian heritage | Culture: European Capital of Culture 2023 | Cost: Extremely cheap | History: 1989 revolution started here | Best for: Budget conscious, architecture lovers, off-beaten-path"
Timisoara,Romania,Eastern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,10,Very Low Tax,Microenterprise,,
Bratislava,Slovakia,Central Europe,General,free,1200,Affordable,2600,Affordable,600,Affordable,450,Affordable,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Moderate,100-200,Good,Few,Good,Good,Good,Good,BTS - M. R. Å tefÃ¡nik,Average,1,Cold,24,Warm,90,Moderate,1900,Good Sunshine,Low,Small,Small,Good,Good,Average,Average,Average,Good,12,Few,Good,Good,Good,Excellent,Good,Good,Average,Good,Good,Average,Average,Average,Good,,,,,,,,"Compact, Vienna Access, Danube, Castle, Affordable, Small, Central, Underrated",
Bratislava,Slovakia,Central Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,Average,No,Residence,Short-term (1 year),19,Low Tax,Flat tax,,"Vienna Access: 1 hour to Vienna | Small: Entire city easily walkable | Central: Access to Vienna, Budapest, Prague | Cost: Affordable | Size: Can feel limiting | Best for: Central Europe base, Vienna alternative, budget conscious"
Bratislava,Slovakia,Central Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,19,Low Tax,Flat tax,,
Nicosia,Cyprus,Southern Europe,General,free,1400,Moderate,2900,Moderate,750,Moderate,550,Moderate,900,Moderate,650,Moderate,1350,Moderate,1000,Moderate,1800,Moderate,1350,Moderate,50-120,Good,Few,Good,Average,Average,Good,LCA - Larnaca (nearby),Average,12,Mild,30,Hot,90,Moderate,3000,Very High Sunshine,Low,Medium,Medium,Good,Good,Good,Good,Good,Good,15,Moderate,Average,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Average,Average,Good,,,,,,,,"Divided City, Tax Haven, Year-round Sun, British Influence, English-Friendly",
Nicosia,Cyprus,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,Yes,Digital Nomad Visa,Short-term (1 year),12.5,Low Tax,Non-dom status (0% tax on dividends/interest),,"Tax: Non-dom status extremely favorable | English: Former British colony, widely spoken | Divided: Only divided capital in world | Sun: Year-round sunshine | Cost: Moderate | Best for: Tax optimization, English speakers, sun seekers"
Nicosia,Cyprus,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,12.5,Low Tax,Non-dom status (0% tax on dividends/interest),,
Groningen,Netherlands,Northern Europe,General,free,1500,Moderate,3200,Moderate,750,Moderate,550,Moderate,900,Moderate,700,Moderate,1400,Moderate,1050,Moderate,1800,Moderate,1350,Moderate,150-300,Excellent,Few,Good,Excellent,Excellent,Excellent,GRQ - Eelde,Low,2,Cold,20,Mild,100,Rainy,1600,Moderate Sunshine,Low,Medium,Small,Good,Excellent,Good,Average,Good,Good,15,Moderate,Good,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,"Students, Bikes, Affordable Dutch City, University, Young, Sustainable, Compact",
Groningen,Netherlands,Northern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,Good,No,Highly Skilled,Very Long-term (5 years),37.1,High Tax,30% ruling available,,"Tax: 30% ruling for qualified expats | Students: Very young city | Bikes: Dutch cycling culture | Cost: Much cheaper than Amsterdam | Size: Small, provincial feel | Best for: Students, budget conscious Netherlands, cyclists"
Groningen,Netherlands,Northern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,37.1,High Tax,30% ruling available,,
Innsbruck,Austria,Western Europe,General,free,1700,Expensive,3600,Expensive,900,Expensive,650,Moderate,1100,Expensive,800,Expensive,1650,Expensive,1250,Expensive,2200,Expensive,1650,Expensive,100-200,Good,Very Few,Good,Good,Excellent,Good,INN - Innsbruck,Average,-2,Cold,23,Mild,110,Rainy,1900,Good Sunshine,Low,Medium,Small,Good,Good,Average,Average,Average,Excellent,15,Moderate,Good,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Good,Average,Average,Good,,,,,,,,"Alps, Skiing, Mountain Sports, Olympic City, Nature, Austrian Culture, Small",
Innsbruck,Austria,Western Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,Average,No,Red-White-Red Card,Medium-term (2 years),35,High Tax,Standard Austrian,,"Mountains: Surrounded by Alps | Skiing: World-class ski resorts | Olympics: Hosted twice | Nature: Unmatched mountain access | Small: Limited city amenities | Best for: Mountain lovers, winter sports enthusiasts, nature-focused"
Innsbruck,Austria,Western Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,,,,,,,35,High Tax,Standard Austrian,,
Cork,Ireland,Western Europe,General,free,1600,Moderate,3400,Moderate,800,Moderate,600,Moderate,1000,Moderate,750,Moderate,1550,Expensive,1150,Expensive,2000,Expensive,1500,Expensive,150-300,Good,Few,Good,Good,Good,Good,ORK - Cork,Good,6,Cool,18,Cool,90,Moderate,1300,Low Sunshine,Low,Medium,Small,Good,Excellent,Good,Good,Good,Good,18,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,,,,,,,,"Rebel City, Friendlier Dublin, English, Food Scene, Smaller, Authentic, Coastal",
Cork,Ireland,Western Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Critical Skills,Medium-term (2 years),20,Low Tax,SARP available,,"Tax: SARP for high earners | English: Native English | Friendly: Known for friendliness | Cost: Cheaper than Dublin | Tech: Apple European HQ | Best for: English speakers, friendlier alternative to Dublin, tech workers"
Cork,Ireland,Western Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,20,Low Tax,SARP available,,
Aarhus,Denmark,Northern Europe,General,free,2000,Expensive,4200,Expensive,1200,Very Expensive,850,Very Expensive,1400,Very Expensive,1050,Very Expensive,2100,Very Expensive,1600,Very Expensive,2800,Very Expensive,2100,Very Expensive,150-300,Excellent,Moderate,Good,Excellent,Excellent,Good,AAR - Aarhus,Average,1,Cold,19,Cool,110,Rainy,1700,Moderate Sunshine,Low,Medium,Medium,Good,Excellent,Good,Good,Good,Good,20,Moderate,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Good,Good,Good,Good,Good,Good,,,,,,,,"Student City, Culture, Smaller Copenhagen, Affordable Danish, Design, Harbor",
Aarhus,Denmark,Northern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,No,Work/Residence,Medium-term (2 years),37,High Tax,Standard Danish,,"Students: Large university | Culture: Cultural capital | Cost: Cheaper than Copenhagen | Quality: Danish quality of life | Size: More manageable than Copenhagen | Best for: Families, quality of life seekers, cheaper Denmark alternative"
Aarhus,Denmark,Northern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,37,High Tax,Standard Danish,,
