city,data_type,tier,1BR_Center_Cost,1BR_Center_EUR,1BR_Outside_Cost,1BR_Outside_EUR,2BR_Center_Cost,2BR_Center_EUR,2BR_Outside_Cost,2BR_Outside_EUR,3BR_Center_Cost,3BR_Center_EUR,3BR_Outside_Cost,3BR_Outside_EUR,Air_Quality_Score,Airport_International,Avg_Temp_Summer_C,Avg_Temp_Winter_C,Bike_Friendly_Score,Bureaucracy_Ease_Score,Cafe_Work_Culture_Score,City,Coffee_Culture_Score,Country,Coworking_Availability,Cultural_Events_Score,Dating_Scene_Score,Digital_Nomad_Visa,English_Proficiency_Score,Expat_Community_Size,Family_Friendly_Score,Fitness_Scene_Score,Flight_Connections_Score,Freelancer_Network_Score,Healthcare_Cost_Score,Healthcare_Quality_Score,International_Schools_Availability,International_Schools_Count,Internet_Avg_Mbps,Internet_Reliability_Score,Monthly_Budget_Family,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Monthly_Budget_Single_EUR,Nightlife_Score,Nomad_Community_Score,Outdoor_Activities_Score,Playground_Parks_Score,Population_Density,Premium_Insights,Public_Transport_Score,Rainfall_Level,Rainy_Days_Year,Region,Restaurant_Diversity_Score,Safety_Score,Singles_Vibe_Score,Startup_Scene_Score,Studio_Center_Cost,Studio_Center_EUR,Studio_Outside_Cost,Studio_Outside_EUR,Summer_Temperature,Sunshine_Hours_Year,Sunshine_Level,Tax_Benefits_Premium,Tax_Level,Tax_Rate_Standard_Pct,Tech_Jobs_Score,Vegan_Friendly_Score,Vibe_Tags,Visa_Duration,Visa_Type_Details,Walkability_Score,Winter_Temperature
Funchal,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHR available,Moderate Tax,28,,,,,,,
Las Palmas,General,free,Moderate,850,Moderate,600,Moderate,1300,Moderate,950,Moderate,1700,Moderate,1250,Average,LPA - Gran Canaria,24,18,Good,,Good,Las Palmas,Good,Gran Canaria,Few,Good,Good,,Good,Large,Good,Good,Good,Excellent,Good,Good,Moderate,18,100-200,Good,Moderate,2700,Moderate,1300,Good,Good,Excellent,Good,Medium,,Good,Very Dry,40,Spain,Good,Excellent,Good,Average,Moderate,700,Moderate,500,Warm,2890,Very High Sunshine,,,,Average,Good,"Year-round Beach Weather, Canary Islands, Digital Nomad Hotspot, Surf, Eternal Spring",,,Excellent,Warm
Las Palmas,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: ZEC special tax zone (4%) + Beckham Law | Climate: Perfect year-round (18-24°C) | Beach: City beaches + surf spots | Community: Major DN hub | Remote: Island life | Best for: Beach lovers, surfers, year-round sun, remote workers",,,,,,,,,,,,,,,,Beckham Law + Canary Islands ZEC (4% corporate),Moderate Tax,24,,,,Short-term (1 year),Digital Nomad Visa,,
Las Palmas,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beckham Law + Canary Islands ZEC (4% corporate),Moderate Tax,24,,,,,,,
Coimbra,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Low,No major international,25,9,Good,,Good,Coimbra,Good,Portugal,Very Few,Average,Average,,Good,Small,Good,Good,Low,Good,Good,Good,Very Few,8,100-200,Good,Affordable,2200,Affordable,1000,Average,Good,Good,Good,Small,,Good,Rainy,110,Southern Europe,Good,Good,Average,Average,Affordable,550,Affordable,400,Warm,2200,Good Sunshine,,,,Average,Good,"University, Students, Historic, River, Authentic, Affordable, Academic, Traditional",,,Good,Mild
Coimbra,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: NHR available | University: Oldest university in Portugal | Students: Young, energetic atmosphere | Cost: Very affordable | Authentic: Traditional Portuguese city | Best for: Budget travelers, academic atmosphere, authentic Portugal",,,,,,,,,,,,,,,,NHR available,Moderate Tax,28,,,,Long-term (2 years),D7/D8,,
Coimbra,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHR available,Moderate Tax,28,,,,,,,
Timisoara,General,free,Very Affordable,500,Very Affordable,350,Very Affordable,750,Affordable,550,Very Affordable,1000,Affordable,750,Low,TSR - Traian Vuia,24,0,Good,,Average,Timisoara,Average,Romania,Few,Average,Good,,Good,Small,Average,Average,Low,Average,Excellent,Good,Very Few,8,120-250,Good,Very Affordable,1800,Very Affordable,800,Good,Average,Good,Average,Small,,Good,Rainy,100,Eastern Europe,Good,Good,Good,Average,Very Affordable,400,Very Affordable,300,Warm,1900,Good Sunshine,,,,Average,Average,"Little Vienna, Affordable, Architecture, Cultural, Revolution 1989, Underrated",,,Good,Cold
Timisoara,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: Microenterprise 1-3% | Architecture: Austro-Hungarian heritage | Culture: European Capital of Culture 2023 | Cost: Extremely cheap | History: 1989 revolution started here | Best for: Budget conscious, architecture lovers, off-beaten-path",,,,,,,,,,,,,,,,Microenterprise,Very Low Tax,10,,,,Short-term (1 year),Residence,,
Timisoara,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microenterprise,Very Low Tax,10,,,,,,,
Bratislava,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Low,BTS - M. R. Å tefÃ¡nik,24,1,Good,,Good,Bratislava,Good,Slovakia,Few,Average,Average,,Good,Small,Good,Good,Average,Good,Good,Good,Few,12,100-200,Good,Affordable,2600,Affordable,1200,Average,Good,Good,Good,Small,,Good,Moderate,90,Central Europe,Good,Excellent,Average,Average,Affordable,600,Affordable,450,Warm,1900,Good Sunshine,,,,Average,Average,"Compact, Vienna Access, Danube, Castle, Affordable, Small, Central, Underrated",,,Good,Cold
Bratislava,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Vienna Access: 1 hour to Vienna | Small: Entire city easily walkable | Central: Access to Vienna, Budapest, Prague | Cost: Affordable | Size: Can feel limiting | Best for: Central Europe base, Vienna alternative, budget conscious",,,,,,,,,,,,,,,,Flat tax,Low Tax,19,,,,Short-term (1 year),Residence,,
Bratislava,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flat tax,Low Tax,19,,,,,,,
Nicosia,General,free,Moderate,900,Moderate,650,Moderate,1350,Moderate,1000,Moderate,1800,Moderate,1350,Low,LCA - Larnaca (nearby),30,12,Average,,Good,Nicosia,Good,Cyprus,Few,Average,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Moderate,15,50-120,Good,Moderate,2900,Moderate,1400,Good,Good,Good,Average,Medium,,Average,Moderate,90,Southern Europe,Good,Excellent,Good,Average,Moderate,750,Moderate,550,Hot,3000,Very High Sunshine,,,,Average,Good,"Divided City, Tax Haven, Year-round Sun, British Influence, English-Friendly",,,Good,Mild
Nicosia,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: Non-dom status extremely favorable | English: Former British colony, widely spoken | Divided: Only divided capital in world | Sun: Year-round sunshine | Cost: Moderate | Best for: Tax optimization, English speakers, sun seekers",,,,,,,,,,,,,,,,Non-dom status (0% tax on dividends/interest),Low Tax,12.5,,,,Short-term (1 year),Digital Nomad Visa,,
Nicosia,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-dom status (0% tax on dividends/interest),Low Tax,12.5,,,,,,,
Groningen,General,free,Moderate,900,Moderate,700,Moderate,1400,Moderate,1050,Moderate,1800,Moderate,1350,Low,GRQ - Eelde,20,2,Excellent,,Good,Groningen,Good,Netherlands,Few,Good,Good,,Excellent,Small,Good,Good,Low,Good,Good,Excellent,Moderate,15,150-300,Excellent,Moderate,3200,Moderate,1500,Average,Good,Good,Good,Medium,,Excellent,Rainy,100,Northern Europe,Good,Excellent,Good,Good,Moderate,750,Moderate,550,Mild,1600,Moderate Sunshine,,,,Good,Good,"Students, Bikes, Affordable Dutch City, University, Young, Sustainable, Compact",,,Excellent,Cold
Groningen,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: 30% ruling for qualified expats | Students: Very young city | Bikes: Dutch cycling culture | Cost: Much cheaper than Amsterdam | Size: Small, provincial feel | Best for: Students, budget conscious Netherlands, cyclists",,,,,,,,,,,,,,,,30% ruling available,High Tax,37.1,,,,Very Long-term (5 years),Highly Skilled,,
Groningen,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30% ruling available,High Tax,37.1,,,,,,,
Innsbruck,General,free,Expensive,1100,Expensive,800,Expensive,1650,Expensive,1250,Expensive,2200,Expensive,1650,Low,INN - Innsbruck,23,-2,Excellent,,Good,Innsbruck,Good,Austria,Very Few,Good,Average,,Good,Small,Excellent,Excellent,Average,Good,Good,Excellent,Moderate,15,100-200,Good,Expensive,3600,Expensive,1700,Average,Good,Excellent,Good,Medium,,Good,Rainy,110,Western Europe,Good,Excellent,Average,Average,Expensive,900,Moderate,650,Mild,1900,Good Sunshine,,,,Average,Good,"Alps, Skiing, Mountain Sports, Olympic City, Nature, Austrian Culture, Small",,,Good,Cold
Innsbruck,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Mountains: Surrounded by Alps | Skiing: World-class ski resorts | Olympics: Hosted twice | Nature: Unmatched mountain access | Small: Limited city amenities | Best for: Mountain lovers, winter sports enthusiasts, nature-focused",,,,,,,,,,,,,,,,Standard Austrian,High Tax,35,,,,Medium-term (2 years),Red-White-Red Card,,
Innsbruck,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Austrian,High Tax,35,,,,,,,
Cork,General,free,Moderate,1000,Moderate,750,Expensive,1550,Expensive,1150,Expensive,2000,Expensive,1500,Low,ORK - Cork,18,6,Good,,Good,Cork,Good,Ireland,Few,Good,Good,,Excellent,Small,Good,Good,Good,Good,Good,Good,Moderate,18,150-300,Good,Expensive,3400,Moderate,1600,Good,Good,Good,Good,Medium,,Good,Moderate,90,Western Europe,Good,Good,Good,Good,Moderate,800,Moderate,600,Cool,1300,Low Sunshine,,,,Good,Good,"Rebel City, Friendlier Dublin, English, Food Scene, Smaller, Authentic, Coastal",,,Good,Cool
Cork,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: SARP for high earners | English: Native English | Friendly: Known for friendliness | Cost: Cheaper than Dublin | Tech: Apple European HQ | Best for: English speakers, friendlier alternative to Dublin, tech workers",,,,,,,,,,,,,,,,SARP available,Low Tax,20,,,,Medium-term (2 years),Critical Skills,,
Cork,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SARP available,Low Tax,20,,,,,,,
Aarhus,General,free,Very Expensive,1400,Very Expensive,1050,Very Expensive,2100,Very Expensive,1600,Very Expensive,2800,Very Expensive,2100,Low,AAR - Aarhus,19,1,Excellent,,Good,Aarhus,Excellent,Denmark,Moderate,Good,Good,,Excellent,Medium,Good,Good,Average,Good,Good,Excellent,Moderate,20,150-300,Excellent,Very Expensive,4200,Expensive,2000,Good,Good,Good,Good,Medium,,Excellent,Rainy,110,Northern Europe,Excellent,Excellent,Good,Good,Very Expensive,1200,Very Expensive,850,Cool,1700,Moderate Sunshine,,,,Good,Excellent,"Student City, Culture, Smaller Copenhagen, Affordable Danish, Design, Harbor",,,Good,Cold
Aarhus,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Students: Large university | Culture: Cultural capital | Cost: Cheaper than Copenhagen | Quality: Danish quality of life | Size: More manageable than Copenhagen | Best for: Families, quality of life seekers, cheaper Denmark alternative",,,,,,,,,,,,,,,,Standard Danish,High Tax,37,,,,Medium-term (2 years),Work/Residence,,
Aarhus,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard Danish,High Tax,37,,,,,,,
